,0,1,2,3,4,5,6,7
54,DT,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.654297135674,0.943966666667,0.343612334802,0.37701396348,0.41760856633
55,DT,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.619597029569,0.0,1.0,0.127516150173,0.0681
56,DT,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.619597029569,0.0,1.0,0.127516150173,0.0681
57,DT,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.726344873974,0.7224,0.699461576114,0.275576125735,0.171589817483
58,DT,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.816021968987,0.9624,0.357807146353,0.402643899752,0.460327455919
59,DT,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.844222494965,0.9572,0.441018110622,0.446481665015,0.452082288008
60,DT,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.85340305932,0.9588,0.396965247186,0.445604395604,0.507827175955
61,DT,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.834086859249,0.866766666667,0.569750367107,0.361322365358,0.264545454545
62,DT,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.852954350863,0.9624,0.373470386686,0.420501515569,0.481084489281
63,DT,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.843640986943,0.968866666667,0.36612824278,0.416133518776,0.481958762887
64,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.864106783036,0.976466666667,0.425354870289,0.482777777778,0.558124598587
65,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.873845875924,0.9776,0.412628487518,0.474929577465,0.559389515594
66,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.870304128162,0.9777,0.421928536466,0.474669603524,0.542479546885
67,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.86897659648,0.9761,0.407733724914,0.468109019387,0.549472295515
68,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.860829636437,0.973766666667,0.379344101811,0.43661971831,0.514266755143
69,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.860106811119,0.9749,0.391091532061,0.44976076555,0.529139072848
70,DT,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.694778995174,0.998666666667,0.322075379344,0.370495495495,0.43605036448
71,DT,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.730898349575,0.992333333333,0.357807146353,0.401207464325,0.45658963148
72,DT,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.749708309301,0.993,0.356828193833,0.40646780039,0.472150259067
73,DT,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.689117120305,0.998966666667,0.331864904552,0.382079459003,0.450199203187
74,DT,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.713515954533,0.992766666667,0.358296622614,0.398258977149,0.448254745867
75,DT,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.742535443258,0.9928,0.347038668625,0.394217403392,0.456241956242
76,DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.65755865622,1.0,0.360744003916,0.362340216323,0.363950617284
77,DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.678773977609,0.989633333333,0.309348996574,0.354657687991,0.415516107824
78,DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.706110509793,0.997933333333,0.333822809594,0.376691521679,0.432192648923
79,DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.671901692045,1.0,0.388154674498,0.38786989484,0.387585532747
80,DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.680063586568,0.988933333333,0.319138521782,0.366498032603,0.430363036304
81,DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.717314328481,0.9985,0.334312285854,0.383492419989,0.449637919684
82,DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.662942203511,1.0,0.371023005384,0.37193326791,0.37284800787
83,DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.678402033779,0.988766666667,0.31718061674,0.364556962025,0.428571428571
84,DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.721775597239,0.9952,0.338717572198,0.390188892021,0.460106382979
85,DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.664016391791,1.0,0.372491434165,0.374876847291,0.37729300942
86,DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.674495459262,0.994266666667,0.320117474302,0.361825726141,0.416030534351
87,DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.708164210855,0.994733333333,0.336270190896,0.38736960812,0.456781914894
