Models,Parameters,Split,Accuracy,Recall,AUC,F1,precision at0.05
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 10}",1,0.995733333333,0.949094468918,0.996036191234,0.968047928108,0.996346555324
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 10}",1,0.9952,0.938325991189,0.998535790691,0.963800904977,0.996840442338
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}",1,0.9844,0.800783162017,0.98175287582,0.87486631016,0.988329238329
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,0.9992,0.994126284875,0.996848527136,0.994126284875,0.994126284875
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 20}",1,0.9975,0.981889378365,0.992759587389,0.981649131392,0.989614243323
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 20}",1,0.995766666667,0.972589329418,0.994602629999,0.969031943428,0.988295165394
